ncfactor_nthweylringalt2_s.tst,A,10000,60
ncfactor_nthweylringalt_s.tst,A,10000,60
ncfactor_usl2_reducible_bug_s.tst,A,10000,60
ncfactor_usl2_s.tst,A,10000,60
nchilb_rcolon1.tst,A,7587,60
nchilb_test1.tst,A,6499,60
nchilb_test2.tst,A,7658,60
nchilb_test3.tst,A,10825,60
nchilb_test4.tst,A,7248,60
nchilb_test5.tst,A,3178,60
nets.tst,A,321,60
poly_div.tst,A,28072,60
polyclass.tst,A,83330,60
primdec3.tst,C,1,300
puiseuxexpansion.tst,A,346,60
reesclos.tst,A,19,60
resources_s.tst,A,5785,60
sagbi2.tst,A,49,60
sets.tst,A,860,60
ssi_Z.tst,X,0,0
ssi_ringref.tst,X,0,0
vdim_overflow.tst,A,5,60
