m95si.tst,A,100000
m96si.tst,A,100000
m97si.tst,A,100000
m98si.tst,A,100000
m99si.tst,A,100000
m9ex.tst,A,10000
m9si.tst,A,100000
map.tst,A,500
mapp.tst,A,20000
matr.tst,A,100000
matrix.tst,A,100000
matrows.tst,A,100000
maxdegr.tst,A,100000
maxid.tst,A,100000
minbas.tst,A,5000
mino.tst,A,100000
modu.tst,A,100000
modul.tst,A,100000
modul1.tst,A,100000
modulo.tst,A,20000
mora1.tst,A,625
mora2.tst,A,666
moralex.tst,A,100000
mre.tst,A,1333
msect.tst,A,10000
mult.tst,A,100000
namof.tst,A,100000
nofile.tst,A,100000
normalf.tst,A,20000
numvar.tst,A,20000
opt.tst,A,100000
ord.tst,A,10000
order.tst,A,20000
palg.tst,A,434
part.tst,A,20000
permutat.tst,A,100000
pol.tst,A,100000
poly.tst,A,100000
polylib.tst,A,1176
preim.tst,A,20000
preimage.tst,A,20000
prim.tst,A,100000
proc.tst,A,20000
qhw.tst,A,20000
qrin.tst,A,100000
qring.tst,A,100000
qring1.tst,A,100000
quot.tst,A,20000
rang.tst,A,100000
re.tst,A,1666
redtail.tst,A,256
regr1.tst,A,100000
regul.tst,A,8
res.tst,A,434
res2.tst,A,327
ring.tst,A,100000
ringdef.tst,A,100000
ringlib.tst,A,1818
rings.tst,A,100000
row.tst,A,100000
rvari.tst,A,100000
sat.tst,A,100000
setrin.tst,A,100000
shor.tst,A,100000
siz.tst,A,100000
smm.tst,A,363
sre.tst,A,317
sres.tst,A,2500
sstring.tst,A,100000
std1.tst,A,20000
std_test.tst,A,47
stdhilb.tst,A,281
string.tst,A,100000
subexpr.tst,A,100000
subexpr1.tst,A,100000
substit.tst,A,100000
syzygies.tst,A,1818
syzygy.tst,A,20000
teste.tst,A,100000
time.tst,A,100000
trac.tst,A,100000
trans.tst,A,100000
typ.tst,A,20000
typof.tst,A,100000
va.tst,A,100000
varlist.tst,A,100000
vdimen.tst,A,100000
vec.tst,A,100000
wedg.tst,A,100000
weight.tst,A,10000
weight2.tst,A,333
zahlen0.tst,A,1666
