Short/ncfactor_facSubWeyl3_s.tst	A	13
Short/ncfactor_facSubWeyl4_s.tst	A	13
Short/ncfactor_landau_ex_s.tst	A	3
Short/ncfactor_multipleFacsSameTopAndBottom_s.tst	A	2
Short/ncfactor_nthweylringalt2_s.tst	A	16
Short/ncfactor_nthweylringalt_s.tst	A	3
Short/ncfactor_SingerEx_s.tst	A	91
Short/ncfactor_usl2_reducible_bug_s.tst	A	3
Short/ncfactor_usl2_s.tst	A	23
Short/nchilb_rcolon1.tst	A	257
Short/nchilb_test1.tst	A	250
Short/nchilb_test2.tst	A	257
Short/nchilb_test3.tst	A	264
Short/nchilb_test4.tst	A	250
Short/nchilb_test5.tst	A	228
Short/nets.tst	A	91
Short/polyclass.tst	A	295
Short/poly_div.tst	A	1000
Short/primdec3.tst	C	1
Short/puiseuxexpansion.tst	A	73
Short/reesclos.tst	A	8
Short/resources_s.tst	A	1000
Short/sagbi2.tst	A	19
Short/sets.tst	A	304
Short/ssi_ringref.tst	A	1000
Short/ssi_Z.tst	A	1000
Short/vdim_overflow.tst	A	3
